timestamp,phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves
2025-11-27T08:26:44.390706+00:00,run_start,0,0,,1.0,,,
2025-11-27T08:26:56.655751+00:00,train,1,1,self,1.0,0,94,
2025-11-27T08:26:56.656046+00:00,train,1,2,self,1.0,0,100,
2025-11-27T08:26:56.656559+00:00,train,1,3,self,1.0,0,96,
2025-11-27T08:26:56.656738+00:00,train,1,4,self,1.0,0,98,
2025-11-27T08:26:56.656912+00:00,train,1,5,self,1.0,0,98,
2025-11-27T08:26:56.657072+00:00,train,1,6,self,1.0,0,99,
2025-11-27T08:26:56.657225+00:00,train,1,7,self,1.0,0,94,
2025-11-27T08:26:56.657375+00:00,train,1,8,self,1.0,0,100,
2025-11-27T08:26:56.657529+00:00,train,1,9,self,1.0,0,100,
2025-11-27T08:26:56.657682+00:00,train,1,10,self,1.0,0,100,
2025-11-27T08:26:56.657831+00:00,train,1,11,self,1.0,0,96,
2025-11-27T08:26:56.657979+00:00,train,1,12,self,1.0,0,100,
2025-11-27T08:26:56.658125+00:00,train,1,13,self,1.0,0,83,
2025-11-27T08:26:56.658270+00:00,train,1,14,self,1.0,0,100,
2025-11-27T08:26:56.658415+00:00,train,1,15,self,1.0,0,99,
2025-11-27T08:26:56.658566+00:00,train,1,16,self,1.0,0,100,
2025-11-27T08:26:56.658775+00:00,train,1,17,self,1.0,0,92,
2025-11-27T08:26:56.658961+00:00,train,1,18,self,1.0,0,100,
2025-11-27T08:26:56.659121+00:00,train,1,19,self,1.0,0,96,
2025-11-27T08:26:56.659274+00:00,train,1,20,self,1.0,0,98,
2025-11-27T08:26:56.659421+00:00,train,1,21,self,1.0,0,95,
2025-11-27T08:26:56.659566+00:00,train,1,22,self,1.0,0,99,
2025-11-27T08:26:56.659709+00:00,train,1,23,self,1.0,0,87,
2025-11-27T08:26:56.659851+00:00,train,1,24,self,1.0,0,99,
2025-11-27T08:26:56.660004+00:00,train,1,25,self,1.0,0,92,
2025-11-27T08:26:56.660147+00:00,train,1,26,self,1.0,0,99,
2025-11-27T08:26:56.660288+00:00,train,1,27,self,1.0,0,99,
2025-11-27T08:26:56.660428+00:00,train,1,28,self,1.0,0,100,
2025-11-27T08:26:56.660568+00:00,train,1,29,self,1.0,0,94,
2025-11-27T08:26:56.660708+00:00,train,1,30,self,1.0,0,94,
2025-11-27T08:26:56.660848+00:00,train,1,31,self,1.0,0,97,
